"Energiedragers","Perioden","Energieaanbod/Totaal aanbod (TPES) (PJ)","Winning","Invoer","Uitvoer","Energieverbruik"
"Steenkool en bruinkool","1991","   357.3","","   357.3","","   357.3"
"Steenkool en bruinkool","1992","   359.2","","   359.2","","   359.2"
"Steenkool en bruinkool","1993","   353.2","","   353.3","","   353.2"
"Steenkool en bruinkool","1994","   382.2","","   382.2","","   382.2"
"Steenkool en bruinkool","1995","   385.2","","   386.2","","   385.2"
"Steenkool en bruinkool","1996","   378.1","","   372.7","","   378.1"
"Steenkool en bruinkool","1997","   368.6","","   377.5","","   368.6"
"Steenkool en bruinkool","1998","   375.0","","   380.5","","   375.0"
"Steenkool en bruinkool","1999","   317.6","","   312.6","","   317.6"
"Steenkool en bruinkool","2000","   327.9","","   324.4","","   327.9"
"Steenkool en bruinkool","2001","   349.8","","   351.8","","   349.8"
"Steenkool en bruinkool","2002","   349.0","","   350.2","","   349.0"
"Steenkool en bruinkool","2003","   357.7","","   353.9","","   357.7"
"Steenkool en bruinkool","2004","   356.0","","   358.4","","   356.0"
"Steenkool en bruinkool","2005","   343.0","","   343.0","","   343.0"
"Steenkool en bruinkool","2006","   331.1","","   327.9","","   331.1"
"Steenkool en bruinkool","2007","   351.4","","   354.7","","   351.4"
"Steenkool en bruinkool","2008","   330.7","","   330.5","","   330.7"
"Steenkool en bruinkool","2009","   308.0","","   305.0","","   308.0"
"Steenkool en bruinkool","2010","   310.2","","   315.2","","   310.2"
"Steenkool en bruinkool","2011","   305.1","","   308.8","","   305.1"
"Steenkool en bruinkool","2012","   332.7","","   331.4","","   332.7"
"Steenkool en bruinkool","2013","   339.7","","   337.4","","   339.7"
"Steenkool en bruinkool","2014","   380.2","","   391.7","","   380.2"
"Steenkool en bruinkool","2015","   466.2","","   449.9","","   466.2"
"Steenkool en bruinkool","2016","   431.2","","   427.9","","   431.2"
"Steenkool en bruinkool","2017**","   384.7","","   390.1","","   384.7"
"Totaal steenkool","1946","       .","   231.3","       .","       .","       ."
"Totaal steenkool","1947","       .","   280.5","       .","       .","       ."
"Totaal steenkool","1948","       .","   304.4","       .","       .","       ."
"Totaal steenkool","1949","       .","   322.9","       .","       .","       ."
"Totaal steenkool","1950","       .","   337.1","       .","       .","       ."
"Totaal steenkool","1951","       .","   343.0","       .","       .","       ."
"Totaal steenkool","1952","       .","   345.3","       .","       .","       ."
"Totaal steenkool","1953","       .","   339.0","       .","       .","       ."
"Totaal steenkool","1954","       .","   332.6","       .","       .","       ."
"Totaal steenkool","1955","       .","   327.9","       .","       .","       ."
"Totaal steenkool","1956","       .","   326.6","       .","       .","       ."
"Totaal steenkool","1957","       .","   314.2","       .","       .","       ."
"Totaal steenkool","1958","       .","   327.9","       .","       .","       ."
"Totaal steenkool","1959","       .","   330.0","       .","       .","       ."
"Totaal steenkool","1960","       .","   342.9","       .","       .","       ."
"Totaal steenkool","1961","       .","   346.0","       .","       .","       ."
"Totaal steenkool","1962","       .","   317.0","       .","       .","       ."
"Totaal steenkool","1963","       .","   316.0","       .","       .","       ."
"Totaal steenkool","1964","       .","   315.0","       .","       .","       ."
"Totaal steenkool","1965","       .","   314.0","       .","       .","       ."
"Totaal steenkool","1966","       .","   276.0","       .","       .","       ."
"Totaal steenkool","1967","       .","   221.0","       .","       .","       ."
"Totaal steenkool","1968","       .","   182.0","       .","       .","       ."
"Totaal steenkool","1969","       .","   152.0","       .","       .","       ."
"Totaal steenkool","1970","       .","   119.0","       .","       .","       ."
"Totaal steenkool","1971","       .","    99.0","       .","       .","       ."
"Totaal steenkool","1972","       .","    77.0","       .","       .","       ."
"Totaal steenkool","1973","       .","    47.0","       .","       .","       ."
"Totaal steenkool","1974","       .","    21.0","       .","       .","       ."
"Totaal steenkool","1975","       .","","       .","       .","       ."
"Totaal steenkool","1976","       .","","       .","       .","       ."
"Totaal steenkool","1977","       .","","       .","       .","       ."
"Totaal steenkool","1978","       .","","       .","       .","       ."
"Totaal steenkool","1979","       .","","       .","       .","       ."
"Totaal steenkool","1980","       .","","       .","       .","       ."
"Totaal steenkool","1981","       .","","       .","       .","       ."
"Totaal steenkool","1982","       .","","       .","       .","       ."
"Totaal steenkool","1983","       .","     3.0","       .","       .","       ."
"Totaal steenkool","1984","       .","     3.0","       .","       .","       ."
"Totaal steenkool","1985","       .","     3.0","       .","       .","       ."
"Totaal steenkool","1986","       .","     2.0","       .","       .","       ."
"Totaal steenkool","1987","       .","","       .","       .","       ."
"Totaal steenkool","1988","       .","","       .","       .","       ."
"Totaal steenkool","1989","       .","","       .","       .","       ."
"Totaal steenkool","1990","   375.8","","   375.8","","   375.8"
"Totaal steenkool","1991","   356.5","","   356.5","","   356.5"
"Totaal steenkool","1992","   358.6","","   358.6","","   358.6"
"Totaal steenkool","1993","   352.5","","   352.5","","   352.5"
"Totaal steenkool","1994","   381.9","","   381.9","","   381.9"
"Totaal steenkool","1995","   384.8","","   385.7","","   384.8"
"Totaal steenkool","1996","   377.6","","   372.2","","   377.6"
"Totaal steenkool","1997","   368.0","","   376.9","","   368.0"
"Totaal steenkool","1998","   374.8","","   380.4","","   374.8"
"Totaal steenkool","1999","   317.2","","   312.2","","   317.2"
"Totaal steenkool","2000","   327.3","","   323.8","","   327.3"
"Totaal steenkool","2001","   349.0","","   351.0","","   349.0"
"Totaal steenkool","2002","   348.2","","   349.5","","   348.2"
"Totaal steenkool","2003","   357.2","","   353.4","","   357.2"
"Totaal steenkool","2004","   355.5","","   357.9","","   355.5"
"Totaal steenkool","2005","   342.4","","   342.4","","   342.4"
"Totaal steenkool","2006","   330.9","","   327.7","","   330.9"
"Totaal steenkool","2007","   351.0","","   354.2","","   351.0"
"Totaal steenkool","2008","   330.6","","   330.3","","   330.6"
"Totaal steenkool","2009","   307.5","","   304.3","","   307.5"
"Totaal steenkool","2010","   309.7","","   314.7","","   309.7"
"Totaal steenkool","2011","   304.6","","   308.4","","   304.6"
"Totaal steenkool","2012","   332.1","","   330.8","","   332.1"
"Totaal steenkool","2013","   339.2","","   336.6","","   339.2"
"Totaal steenkool","2014","   379.5","","   390.9","","   379.5"
"Totaal steenkool","2015","   465.5","","   449.2","","   465.5"
"Totaal steenkool","2016","   430.5","","   427.2","","   430.5"
"Totaal steenkool","2017**","   383.7","","   389.2","","   383.7"
"Antraciet","1946","       .","       .","       .","       .","       ."
"Antraciet","1947","       .","       .","       .","       .","       ."
"Antraciet","1948","       .","       .","       .","       .","       ."
"Antraciet","1949","       .","       .","       .","       .","       ."
"Antraciet","1950","       .","       .","       .","       .","       ."
"Antraciet","1951","       .","       .","       .","       .","       ."
"Antraciet","1952","       .","       .","       .","       .","       ."
"Antraciet","1953","       .","       .","       .","       .","       ."
"Antraciet","1954","       .","       .","       .","       .","       ."
"Antraciet","1955","       .","       .","       .","       .","       ."
"Antraciet","1956","       .","       .","       .","       .","       ."
"Antraciet","1957","       .","       .","       .","       .","       ."
"Antraciet","1958","       .","       .","       .","       .","       ."
"Antraciet","1959","       .","       .","       .","       .","       ."
"Antraciet","1960","       .","       .","       .","       .","       ."
"Antraciet","1961","       .","       .","       .","       .","       ."
"Antraciet","1962","       .","       .","       .","       .","       ."
"Antraciet","1963","       .","       .","       .","       .","       ."
"Antraciet","1964","       .","       .","       .","       .","       ."
"Antraciet","1965","       .","       .","       .","       .","       ."
"Antraciet","1966","       .","       .","       .","       .","       ."
"Antraciet","1967","       .","       .","       .","       .","       ."
"Antraciet","1968","       .","       .","       .","       .","       ."
"Antraciet","1969","       .","       .","       .","       .","       ."
"Antraciet","1970","       .","       .","       .","       .","       ."
"Antraciet","1971","       .","       .","       .","       .","       ."
"Antraciet","1972","       .","       .","       .","       .","       ."
"Antraciet","1973","       .","       .","       .","       .","       ."
"Antraciet","1974","       .","       .","       .","       .","       ."
"Antraciet","1975","       .","","       .","       .","       ."
"Antraciet","1976","       .","","       .","       .","       ."
"Antraciet","1977","       .","","       .","       .","       ."
"Antraciet","1978","       .","","       .","       .","       ."
"Antraciet","1979","       .","","       .","       .","       ."
"Antraciet","1980","       .","","       .","       .","       ."
"Antraciet","1981","       .","","       .","       .","       ."
"Antraciet","1982","       .","","       .","       .","       ."
"Antraciet","1983","       .","       .","       .","       .","       ."
"Antraciet","1984","       .","       .","       .","       .","       ."
"Antraciet","1985","       .","       .","       .","       .","       ."
"Antraciet","1986","       .","       .","       .","       .","       ."
"Antraciet","1987","       .","","       .","       .","       ."
"Antraciet","1988","       .","","       .","       .","       ."
"Antraciet","1989","       .","","       .","       .","       ."
"Antraciet","1990","     4.4","","     4.4","","     4.4"
"Antraciet","1991","     3.3","","     3.3","","     3.3"
"Antraciet","1992","     3.1","","     3.1","","     3.1"
"Antraciet","1993","     3.5","","     3.5","","     3.5"
"Antraciet","1994","     2.4","","     2.4","","     2.4"
"Antraciet","1995","     1.9","","     1.9","","     1.9"
"Antraciet","1996","     1.4","","     1.4","","     1.4"
"Antraciet","1997","     1.8","","     1.8","","     1.8"
"Antraciet","1998","     1.9","","     1.9","","     1.9"
"Antraciet","1999","     1.9","","     1.9","","     1.9"
"Antraciet","2000","     1.8","","     1.8","","     1.8"
"Antraciet","2001","     1.7","","     1.7","","     1.7"
"Antraciet","2002","     1.4","","     1.4","","     1.4"
"Antraciet","2003","     1.0","","     1.0","","     1.0"
"Antraciet","2004","     0.7","","     0.7","","     0.7"
"Antraciet","2005","     0.8","","     0.8","","     0.8"
"Antraciet","2006","     1.0","","     1.0","","     1.0"
"Antraciet","2007","     1.8","","     1.8","","     1.8"
"Antraciet","2008","     1.2","","     1.2","","     1.2"
"Antraciet","2009","     1.1","","     1.1","","     1.1"
"Antraciet","2010","     1.1","","     1.1","","     1.1"
"Antraciet","2011","     1.0","","     1.0","","     1.0"
"Antraciet","2012","     2.2","","     2.2","","     2.2"
"Antraciet","2013","     1.9","","     1.9","","     1.9"
"Antraciet","2014","     1.0","","     1.0","","     1.0"
"Antraciet","2015","     1.1","","     1.1","","     1.1"
"Antraciet","2016","     1.1","","     1.2","","     1.1"
"Antraciet","2017**","     1.4","","     1.4","","     1.4"
"Cokeskool","1946","       .","       .","       .","       .","       ."
"Cokeskool","1947","       .","       .","       .","       .","       ."
"Cokeskool","1948","       .","       .","       .","       .","       ."
"Cokeskool","1949","       .","       .","       .","       .","       ."
"Cokeskool","1950","       .","       .","       .","       .","       ."
"Cokeskool","1951","       .","       .","       .","       .","       ."
"Cokeskool","1952","       .","       .","       .","       .","       ."
"Cokeskool","1953","       .","       .","       .","       .","       ."
"Cokeskool","1954","       .","       .","       .","       .","       ."
"Cokeskool","1955","       .","       .","       .","       .","       ."
"Cokeskool","1956","       .","       .","       .","       .","       ."
"Cokeskool","1957","       .","       .","       .","       .","       ."
"Cokeskool","1958","       .","       .","       .","       .","       ."
"Cokeskool","1959","       .","       .","       .","       .","       ."
"Cokeskool","1960","       .","       .","       .","       .","       ."
"Cokeskool","1961","       .","       .","       .","       .","       ."
"Cokeskool","1962","       .","       .","       .","       .","       ."
"Cokeskool","1963","       .","       .","       .","       .","       ."
"Cokeskool","1964","       .","       .","       .","       .","       ."
"Cokeskool","1965","       .","       .","       .","       .","       ."
"Cokeskool","1966","       .","       .","       .","       .","       ."
"Cokeskool","1967","       .","       .","       .","       .","       ."
"Cokeskool","1968","       .","       .","       .","       .","       ."
"Cokeskool","1969","       .","       .","       .","       .","       ."
"Cokeskool","1970","       .","       .","       .","       .","       ."
"Cokeskool","1971","       .","       .","       .","       .","       ."
"Cokeskool","1972","       .","       .","       .","       .","       ."
"Cokeskool","1973","       .","       .","       .","       .","       ."
"Cokeskool","1974","       .","       .","       .","       .","       ."
"Cokeskool","1975","       .","","       .","       .","       ."
"Cokeskool","1976","       .","","       .","       .","       ."
"Cokeskool","1977","       .","","       .","       .","       ."
"Cokeskool","1978","       .","","       .","       .","       ."
"Cokeskool","1979","       .","","       .","       .","       ."
"Cokeskool","1980","       .","","       .","       .","       ."
"Cokeskool","1981","       .","","       .","       .","       ."
"Cokeskool","1982","       .","","       .","       .","       ."
"Cokeskool","1983","       .","       .","       .","       .","       ."
"Cokeskool","1984","       .","       .","       .","       .","       ."
"Cokeskool","1985","       .","       .","       .","       .","       ."
"Cokeskool","1986","       .","       .","       .","       .","       ."
"Cokeskool","1987","       .","","       .","       .","       ."
"Cokeskool","1988","       .","","       .","       .","       ."
"Cokeskool","1989","       .","","       .","       .","       ."
"Cokeskool","1990","   130.0","","   130.0","","   130.0"
"Cokeskool","1991","   135.8","","   135.8","","   135.8"
"Cokeskool","1992","   140.3","","   140.3","","   140.3"
"Cokeskool","1993","   139.8","","   139.8","","   139.8"
"Cokeskool","1994","   148.6","","   148.6","","   148.6"
"Cokeskool","1995","   140.1","","   141.1","","   140.1"
"Cokeskool","1996","   146.3","","   140.8","","   146.3"
"Cokeskool","1997","   149.9","","   158.9","","   149.9"
"Cokeskool","1998","   145.5","","   151.1","","   145.5"
"Cokeskool","1999","   126.4","","   121.4","","   126.4"
"Cokeskool","2000","   116.1","","   112.6","","   116.1"
"Cokeskool","2001","   123.4","","   127.2","","   123.4"
"Cokeskool","2002","   121.0","","   119.2","","   121.0"
"Cokeskool","2003","   125.6","","   123.3","","   125.6"
"Cokeskool","2004","   132.2","","   131.5","","   132.2"
"Cokeskool","2005","   134.1","","   134.1","","   134.1"
"Cokeskool","2006","   125.2","","   124.7","","   125.2"
"Cokeskool","2007","   134.7","","   136.7","","   134.7"
"Cokeskool","2008","   126.5","","   127.9","","   126.5"
"Cokeskool","2009","    98.0","","    90.7","","    98.0"
"Cokeskool","2010","   113.2","","   119.9","","   113.2"
"Cokeskool","2011","   121.5","","   126.9","","   121.5"
"Cokeskool","2012","   118.5","","   117.5","","   118.5"
"Cokeskool","2013","   116.7","","   113.4","","   116.7"
