"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Totaal aardoliegrondstoffen en producten","1982","    81.0","  4830.0","  3669.0","  1161.0","   409.0","   926.0"
"Totaal aardoliegrondstoffen en producten","1983","   124.0","  4603.0","  3505.0","  1098.0","   387.0","   878.0"
"Totaal aardoliegrondstoffen en producten","1984","   147.0","  4629.0","  3553.0","  1076.0","   368.0","   847.0"
"Totaal aardoliegrondstoffen en producten","1985","   174.0","  4508.0","  3409.0","  1099.0","   419.0","   817.0"
"Totaal aardoliegrondstoffen en producten","1986","   214.0","  4907.0","  3683.0","  1224.0","   463.0","   900.0"
"Totaal aardoliegrondstoffen en producten","1987","   200.0","  4685.0","  3566.0","  1119.0","   459.0","   904.0"
"Totaal aardoliegrondstoffen en producten","1988","   183.0","  5009.0","  3762.0","  1247.0","   509.0","   948.0"
"Totaal aardoliegrondstoffen en producten","1989","   163.0","  5320.0","  3998.0","  1322.0","   498.0","   935.0"
"Totaal aardoliegrondstoffen en producten","1990","   175.1","  5357.8","  3963.0","  1395.0","   520.2","  1048.4"
"Totaal aardoliegrondstoffen en producten","1991","   169.0","  5677.2","  4254.2","  1423.0","   534.8","  1034.3"
"Totaal aardoliegrondstoffen en producten","1992","   153.2","  5555.9","  4065.6","  1490.0","   546.0","  1046.6"
"Totaal aardoliegrondstoffen en producten","1993","   152.9","  5648.5","  4201.5","  1447.0","   534.5","  1060.1"
"Totaal aardoliegrondstoffen en producten","1994","   199.3","  5554.8","  4073.4","  1481.0","   551.1","  1082.5"
"Totaal aardoliegrondstoffen en producten","1995","   162.3","  5432.9","  3995.6","  1437.0","   557.8","  1109.0"
"Totaal aardoliegrondstoffen en producten","1996","   147.2","  5788.9","  4195.8","  1593.0","   583.5","  1134.5"
"Totaal aardoliegrondstoffen en producten","1997","   141.4","  5999.5","  4345.7","  1654.0","   627.7","  1136.2"
"Totaal aardoliegrondstoffen en producten","1998","   128.6","  6023.1","  4319.2","  1704.0","   634.6","  1144.8"
"Totaal aardoliegrondstoffen en producten","1999","   122.3","  5838.7","  4266.9","  1572.0","   660.3","  1149.8"
"Totaal aardoliegrondstoffen en producten","2000","   114.8","  6227.0","  4408.7","  1818.0","   689.2","  1150.7"
"Totaal aardoliegrondstoffen en producten","2001","   108.6","  6249.8","  4429.4","  1820.0","   737.1","  1176.9"
"Totaal aardoliegrondstoffen en producten","2002","   142.2","  6338.6","  4577.2","  1761.0","   737.8","  1208.9"
"Totaal aardoliegrondstoffen en producten","2003","   142.1","  6466.0","  4632.4","  1834.0","   699.0","  1295.1"
"Totaal aardoliegrondstoffen en producten","2004","   129.1","  6915.4","  4936.8","  1979.0","   758.9","  1296.6"
"Totaal aardoliegrondstoffen en producten","2005","   107.2","  7169.3","  5115.7","  2054.0","   806.6","  1292.6"
"Totaal aardoliegrondstoffen en producten","2006","    97.8","  7379.8","  5267.6","  2112.0","   852.1","  1302.9"
"Totaal aardoliegrondstoffen en producten","2007","   125.1","  7169.8","  5111.3","  2058.0","   870.5","  1311.3"
"Totaal aardoliegrondstoffen en producten","2008","   104.8","  7406.3","  5380.7","  2026.0","   844.4","  1227.2"
"Totaal aardoliegrondstoffen en producten","2009","    85.5","  7491.1","  5583.9","  1907.0","   759.2","  1202.9"
"Totaal aardoliegrondstoffen en producten","2010","    74.7","  7967.8","  6095.4","  1872.0","   723.0","  1251.8"
"Totaal aardoliegrondstoffen en producten","2011","    76.9","  7669.9","  5908.2","  1762.0","   773.2","  1201.0"
"Totaal aardoliegrondstoffen en producten","2012","    83.2","  8127.7","  6177.9","  1950.0","   716.9","  1212.1"
"Totaal aardoliegrondstoffen en producten","2013","    86.7","  7705.2","  5959.3","  1746.0","   695.8","  1149.6"
"Totaal aardoliegrondstoffen en producten","2014","   109.6","  7847.7","  6102.5","  1745.0","   689.8","  1138.9"
"Totaal aardoliegrondstoffen en producten","2015","   106.0","  8458.5","  6630.2","  1828.0","   659.3","  1143.7"
"Totaal aardoliegrondstoffen en producten","2016","    85.6","  8366.0","  6665.5","  1701.0","   660.2","  1181.9"
"Totaal aardoliegrondstoffen en producten","2017**","    81.7","  8344.5","  6670.5","  1674.0","   655.7","  1195.9"
"Aardgas","1946","","","","","",""
"Aardgas","1947","","","","","",""
"Aardgas","1948","","","","","",""
"Aardgas","1949","","","","","",""
"Aardgas","1950","","","","","",""
"Aardgas","1951","","","","","",""
"Aardgas","1952","","","","","",""
"Aardgas","1953","     1.0","       .","       .","       .","","     1.0"
"Aardgas","1954","     3.0","       .","       .","       .","","     3.0"
"Aardgas","1955","     4.0","       .","       .","       .","","     4.0"
"Aardgas","1956","     5.0","       .","       .","       .","","     5.0"
"Aardgas","1957","     4.0","       .","       .","       .","","     4.0"
"Aardgas","1958","     5.0","       .","       .","       .","","     5.0"
"Aardgas","1959","     7.0","       .","       .","       .","","     7.0"
"Aardgas","1960","    10.0","       .","       .","       .","","    10.0"
